Year,2015,2014,2013,2012,2011,2010,2009,2008,2005,2004
Cash in Hand and Bank,"3,422,931","23,552,393","40,054,055","27,279,060","31,700,552","18,541,525","14,124,771","49,704,341","55,520,438","107,407,641"
Current Assets,"898,635,209","1,137,992,425","1,297,686,662","1,511,263,675","2,397,038,105","3,062,650,280","3,546,007,372","3,981,087,728","2,867,461,146","2,168,546,936"
Fixed Assets,"64,673,169","21,636,654","35,933,222","132,660,389","99,759,348","119,282,715","260,795,453","256,383,010","100,926,339","42,134,662"
Investment In Lease,"8,752,284","17,736,695","135,786,944","282,415,625","453,839,825","1,069,278,428","1,880,875,577","2,941,966,308","1,712,069,092","1,514,970,365"
Non Current Assets,"41,608,004","45,136,792","57,831,808","67,350,911","211,687,807","220,301,903","91,966,539","129,498,316","99,125,329","20,710,114"
Total Assets,"1,013,668,666","1,222,502,566","1,595,175,480","1,993,690,600","3,162,325,085","4,471,513,326","5,902,933,491","7,424,423,912","4,779,581,906","3,746,362,077"
Total Current Liabilities,"1,470,513,344","1,456,351,498","1,381,005,212","2,322,159,452","2,277,579,764","2,800,632,315","3,181,830,355","4,446,401,361","2,915,326,448","1,980,195,496"
Long Term Deposits,"3,750,000","7,330,000","46,200,811","70,039,373","164,268,926","692,924,599","876,652,626","1,070,375,836","594,966,823","455,690,243"
Redeemable Capital,0,0,0,0,0,0,0,0,"462,500,000","598,838,628"
Long Term Certificates of Investment,0,0,0,"11,300,000","22,600,000","54,173,000","98,324,000","199,469,000","311,917,000","316,477,000"
Other Non Current Liabilities,"70,404,851","96,524,012","509,723,790","601,208,881","913,759,775","1,022,260,325","1,673,913,378","1,171,133,887","113,581,968","47,581,968"
Total Liabilities,"1,544,668,195","1,560,205,510","1,936,929,813","3,004,707,706","3,378,208,465","4,569,990,239","5,830,720,359","6,887,380,084","4,398,292,239","3,398,783,335"
Paid Up Capital,"451,605,000","451,605,000","979,813,500","451,605,000","451,605,000","451,605,000","451,605,000","451,605,000","253,000,000","220,000,000"
Preferred Equity,"528,208,500","528,208,500","528,208,500",0,0,0,0,0,0,0
Reserves,"-1,536,614,317","-1,350,872,002","-1,355,702,979","-1,510,259,034","-684,301,252","-575,343,033","-234,457,136","222,201,013","444,520,391","364,517,497"
Shareholder Equity,"-530,999,529","-337,702,944","-341,754,333","-1,011,017,106","-215,883,380","-98,476,913","72,213,132","537,043,828","381,289,667","347,578,742"
Paid Up Value,10,10,10,10,10,10,10,10,10,10
Number of Share,"45,160,500","45,160,500","45,160,500","45,160,500","45,160,500","45,160,500","45,160,500","45,160,500","25,300,000","22,000,000"
Surplus On Revaluation of Assets,"25,801,288","33,355,558","34,135,146","47,636,928","16,812,872","25,261,120","-144,934,732","-136,762,185","-63,230,725","-16,938,755"
