Year,2015,2014,2013,2012,2011,2010,2009,2008,2005,2004
Net Working Capital to Total Asseets,-0.56,-0.26,-0.05,-0.41,0.04,0.06,0.06,-0.06,-0.01,0.05
Current Ratio,0.61,0.78,0.94,0.65,1.05,1.09,1.11,0.90,0.98,1.10
Time Interest Earn,-2.73,1.09,2.56,-2.93,0.09,0.10,0.32,1.15,1.25,1.47
Return on Capital Employed,0.31,-0.26,1.02,1.37,0.02,0.03,0.09,0.22,0.14,0.12
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.43
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,64.57
Return on Equity,0.00,-0.83,-10.52,0.00,0.00,0.00,-634.32,12.55,26.75,17.86
Return on Assets,-19.03,0.59,8.85,-41.22,-3.72,-7.67,-7.76,0.91,2.13,1.66
Book Value per Share,-23.45,-19.17,-29.71,-22.39,-4.78,-2.18,1.60,11.89,15.07,15.80
Earning Per Share,-4.27,0.03,3.13,-18.20,-2.61,-7.59,-10.14,1.49,4.03,2.45
