Year,2019,2018,2017,2016,2015,2014,2013
Fixed Assets,"12,852,936,513","13,294,424,176","13,687,610,378","14,213,512,866","14,802,174,440","15,353,286,600","15,965,603,485"
Investments,"738,404,190","631,000,000",0,0,0,"319,968,992",0
Cash in Hand and Bank,"671,074","295,242","4,424,504","152,763,065","4,765,461","213,838,971","692,768,964"
Stores and Spares,0,"134,110,136","127,995,836",0,0,0,0
Stock in Trade,0,0,0,"128,114,620","128,210,622","228,163,546","241,584,687"
Trade Debts,"9,650,652,780","8,415,730,184","5,383,547,937","4,377,319,135","5,075,065,458","4,417,254,552","4,413,018,027"
Current Assets,"11,124,631,557","9,114,724,281","5,984,111,060","5,015,722,581","5,556,013,186","5,533,356,638","6,307,966,119"
Quick Assets,"11,124,631,557","8,980,614,145","5,856,115,224","4,887,607,961","5,427,802,564","5,305,193,092","6,066,381,432"
Total Assets,"24,720,344,920","23,043,480,267","19,675,556,148","19,233,910,007","20,359,468,826","20,887,368,290","22,274,952,476"
Interest Bearing Long Term Liability,"758,431,948","1,461,141,413","3,631,738,707","5,486,225,788","6,476,362,397","8,013,304,341","9,570,358,686"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"6,416,087,680","7,934,639,140","3,836,620,550","3,009,132,700","2,945,474,687","3,723,316,589","4,963,986,442"
* Non Interest Bearing Short Term Liability,"2,722,361,814","1,590,283,486","1,811,098,835","1,486,537,297","3,034,817,707","2,157,538,843","1,387,936,719"
Trades Payables,"2,026,701,229","1,039,856,731","1,431,225,639","1,126,812,998","2,656,970,804","1,637,815,456","867,473,742"
Total Current Liabilities,"9,153,914,831","9,535,113,451","5,647,719,385","4,495,669,997","5,980,292,394","5,880,855,432","6,351,923,161"
Total Liabilities,"9,912,346,779","10,996,254,864","9,279,458,092","10,018,131,206","12,487,763,566","13,918,352,282","15,940,550,856"
Paid Up Capital,"3,864,717,790","3,864,717,790","3,864,717,790","3,864,717,790","3,864,717,790","3,864,717,790","3,864,717,790"
Reserves,"10,943,280,351","8,182,507,613","6,531,380,266","5,351,061,011","4,006,987,470","3,104,298,218","2,469,683,830"
Preferred Equity,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0
Shareholder Equity,"14,807,998,141","12,047,225,403","10,396,098,056","9,215,778,801","7,871,705,260","6,969,016,008","6,334,401,620"
Paid Up Value,10,10,10,10,10,10,10
Number of Shares,"386,471,779","386,471,779","386,471,779","386,471,779","386,471,779","386,471,779","386,471,779"
