Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"177,404,423,000","156,673,275,000","138,616,102,000","162,583,170,000","153,283,822,000","151,637,577,000","130,904,211,000","114,529,160,000","107,736,781,000","108,151,087,000","74,625,569,000"
COGS,"187,181,334,000","157,512,161,000","163,440,128,000","170,565,082,000","162,252,203,000","148,147,434,000","128,236,682,000","112,284,333,000","104,936,801,000","102,388,858,000","69,238,236,000"
Gross Profit,"-9,776,911,000","-838,886,000","-24,824,026,000","-7,981,912,000","-8,968,381,000","3,490,143,000","2,667,529,000","2,244,827,000","2,799,980,000","5,762,229,000","5,387,333,000"
Administrative Expenses,"4,475,239,000","4,311,328,000","3,840,688,000","3,733,602,000","3,440,422,000","3,291,775,000","4,029,974,000","3,081,710,000","2,448,711,000","1,564,628,000","1,504,086,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,"6,937,947,000","5,643,042,000"
Financial Charges,"5,063,738,000","1,692,477,000","2,618,390,000","9,696,368,000","7,416,614,000","7,607,889,000","7,531,711,000","5,786,122,000","5,015,893,000","4,409,792,000","2,370,674,000"
Other Income,"14,002,137,000","13,451,579,000","25,799,445,000","14,231,115,000","16,196,593,000","12,741,202,000","14,698,585,000","13,787,821,000","12,430,075,000","9,919,751,000","7,479,611,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"5,512,109,000","3,293,096,000","2,355,905,000","1,588,587,000","2,181,582,000","4,951,576,000","1,717,763,000","1,645,141,000","752,037,000","2,352,918,000","967,515,000"
EBITDA,"1,551,196,000","10,954,469,000","-34,199,000","5,762,141,000","5,867,775,000","12,093,121,000","15,598,133,000","14,525,278,000","14,869,613,000","7,516,578,000","7,020,467,000"
EBIT,"-5,762,122,000","5,008,269,000","-5,221,174,000","927,014,000","1,606,208,000","7,987,994,000","11,618,377,000","11,305,797,000","12,029,307,000","4,826,487,000","4,752,301,000"
EBT,"-10,825,860,000","3,315,792,000","-7,839,564,000","-8,769,354,000","-5,810,406,000","380,105,000","4,086,666,000","5,519,675,000","7,013,414,000","416,695,000","2,381,627,000"
Tax,"4,022,348,000","1,979,962,000","1,724,611,000","-3,378,305,000","-2,056,945,000","131,911,000","1,505,423,000","795,287,000","2,614,269,000","159,210,000","1,390,560,000"
PAT,"-14,848,208,000","1,335,830,000","-6,114,953,000","-5,391,049,000","-3,753,461,000","248,194,000","2,581,243,000","4,724,388,000","4,399,145,000","257,485,000","991,067,000"
EPS,-16.86,1.52,-6.94,-6.12,-4.26,0.28,2.93,5.63,6.55,0.38,1.48
