Year,2020,2019,2018,2017,2016,2015,2014,2013
Fixed Assets,"1,712,355,595","1,562,505,361","1,070,601,940","884,773,411","557,598,452","359,204,912","202,065,814","181,569,648"
Investments,"2,916,918,703","1,051,973,167","346,077,980","276,077,980","304,077,980","608,877,378","32,282,624","243,728,476"
Cash in Hand and Bank,"1,577,759,692","1,095,555,314","400,760,630","444,255,392","183,200,188","144,644,586","983,230,255","141,865,098"
Stores and Spares,0,0,0,0,0,0,0,0
Stock in Trade,0,0,0,0,0,0,0,0
Trade Debts,"2,438,437,498","1,799,468,312","1,916,900,586","1,140,871,164","1,297,360,241","1,096,796,692","1,014,135,953","689,506,040"
Current Assets,"7,792,737,226","4,763,390,039","3,796,824,975","2,784,850,426","2,482,914,221","2,391,914,949","2,181,737,850","1,154,165,593"
Quick Assets,"7,792,737,226","4,763,390,039","3,796,824,975","2,784,850,426","2,482,914,221","2,391,914,949","2,181,737,850","1,154,165,593"
Total Assets,"9,834,639,018","6,717,215,682","4,999,169,768","3,830,116,677","3,174,465,803","2,855,149,969","2,433,813,176","1,352,728,825"
Interest Bearing Long Term Liability,"287,422,764","129,188,921",0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,"6,766,611","8,611,771"
Interest Bearing Short Term Liability,"1,388,738,348","679,284,595","450,000,000","200,000,000",0,0,0,0
* Non Interest Bearing Short Term Liability,"732,457,641","539,686,394","427,179,633","336,280,919","226,689,126","237,042,067","269,446,164","56,819,033"
Trades Payables,"722,653,295","534,812,425","423,490,628","333,485,673","226,689,126","237,042,067","269,446,164","56,819,033"
Total Current Liabilities,"2,231,333,681","1,344,691,656","901,734,935","606,719,736","247,186,409","351,870,487","279,285,541","59,416,379"
Total Liabilities,"2,580,952,967","1,500,749,351","920,300,230","618,938,520","258,097,200","359,522,532","286,052,152","69,161,484"
Paid Up Capital,"1,246,060,140","1,235,202,990","1,122,135,480","1,118,276,520","1,110,784,920","1,106,808,760","871,653,020","429,375,070"
Reserves,"6,007,625,911","3,981,263,341","2,956,734,058","2,092,901,637","1,805,583,683","1,388,818,677","1,276,108,004","854,192,271"
Preferred Equity,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0
Shareholder Equity,"7,253,686,051","5,216,466,331","4,078,869,538","3,211,178,157","2,916,368,603","2,495,627,437","2,147,761,024","1,283,567,341"
Paid Up Value,10,10,10,10,10,10,10,10
Number of Shares,"124,606,014","123,520,299","112,213,548","111,827,652","111,078,492","110,680,876","87,165,302","42,937,507"
