Year,2020,2019,2018,2017,2016,2015,2014,2013
Payout,19.88,20.37,22.23,41.34,40.11,30.57,23.47,23.27
Plow Back,80.12,79.63,77.77,58.66,59.89,69.43,76.53,76.73
Return on Equity,30.25,26.15,24.75,14.74,17.66,18.13,19.87,32.34
Return on Assets,22.31,20.31,20.19,12.36,16.23,15.85,17.53,30.69
Book Value per Share,58.21,42.23,36.35,28.72,26.26,22.55,24.64,29.89
Earning Per Share,17.66,11.05,9.01,4.24,4.64,4.14,4.92,4.91
Net Working Capital to Total Asseets,0.57,0.51,0.58,0.57,0.70,0.71,0.78,0.81
Current Ratio,3.49,3.54,4.21,4.59,10.04,6.80,7.81,19.43
Acid Test,3.49,3.54,4.21,4.59,10.04,6.80,7.81,19.43
Times Interest Earned,46.42,36.56,57.02,45.96,157.58,220.47,109.11,126.13
Total Debt Ratio,0.26,0.22,0.18,0.16,0.08,0.13,0.12,0.05
Debt To Equity,0.36,0.29,0.23,0.19,0.09,0.14,0.13,0.05
Return on Capital Employed,0.30,0.27,0.26,0.15,0.17,0.19,0.20,0.33
Average Collection Period,118.45,122.80,186.03,143.06,176.67,176.88,192.53,177.16
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Assets Turnover,0.76,0.80,0.75,0.76,0.84,0.79,0.79,1.05
Gross Profit Margin,37.24,33.21,31.33,29.62,29.75,33.44,35.36,39.50
Net Profit Margin,29.20,25.50,26.84,16.26,19.22,19.99,22.20,29.22
