Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"512,310,000","505,300,000","556,648,000","613,740,000","701,109,000","832,841,000","1,075,209,000","1,378,475,000","1,770,295,000","2,130,039,000","2,559,009,000","3,179,332,000","3,824,829,000"
Investments,"340,537,000","340,537,000","340,537,000","340,537,000","341,437,000","341,437,000","341,437,000","341,137,000","821,767,000","340,637,000","340,537,000","409,277,000","409,722,000"
Cash in Hand and Bank,"23,018,000","22,503,000","16,228,000","5,889,000","6,315,000","28,775,000","40,490,000","22,826,000","5,546,000","8,659,000","23,580,000","9,587,000","35,436,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,0,0,0,0,0,0,"302,000","628,000","581,000","862,000","8,836,000","8,857,000","10,220,000"
Trade Debts,"351,054,000","316,077,000","650,373,000","702,996,000","464,618,000","222,432,000","111,465,000","224,153,000","132,695,000","123,543,000","224,238,000","337,119,000","327,456,000"
Current Assets,"3,159,845,000","3,255,568,000","3,473,658,000","4,040,232,000","3,814,765,000","3,646,484,000","3,464,253,000","4,008,385,000","3,850,884,000","3,922,487,000","4,119,540,000","1,769,604,000","1,585,376,000"
Quick Assets,"3,159,845,000","3,255,568,000","3,473,658,000","4,040,232,000","3,814,765,000","3,646,484,000","3,463,951,000","4,007,757,000","3,850,303,000","3,921,625,000","4,110,704,000","1,760,747,000","1,575,156,000"
Total Assets,"4,381,016,000","4,467,982,000","4,739,758,000","6,621,808,000","6,655,178,000","6,866,324,000","7,116,215,000","8,144,934,000","8,776,485,000","8,802,132,000","9,610,117,000","9,719,169,000","10,394,139,000"
Interest Bearing Long Term Liability,"124,638,000","165,649,000","441,719,000","753,378,000","934,298,000","247,387,000","61,875,000","720,365,000","1,131,601,000","677,785,000","2,863,660,000","2,529,746,000","3,225,169,000"
Non Interest Bearing Long Term Liability,0,0,"34,874,000","34,877,000","431,887,000","449,988,000","574,053,000","161,093,000","957,998,000","674,769,000","608,126,000","378,660,000","745,815,000"
Interest Bearing Short Term Liability,"782,311,000","716,155,000","440,085,000","128,426,000","56,764,000","810,516,000","978,302,000","785,950,000","501,871,000","812,521,000","610,525,000","1,149,527,000","1,001,694,000"
* Non Interest Bearing Short Term Liability,"1,058,149,000","1,082,077,000","1,230,778,000","1,378,898,000","1,183,420,000","1,358,960,000","1,281,902,000","1,668,661,000","1,689,570,000","1,408,561,000","1,946,865,000","1,705,961,000","1,562,189,000"
Trades Payables,"819,027,000","931,331,000","1,133,208,000","1,329,092,000","1,118,172,000","951,112,000","1,000,701,000","1,403,399,000","1,525,775,000","1,294,742,000","1,863,034,000","1,310,521,000","1,197,002,000"
Total Current Liabilities,"1,844,854,000","1,802,626,000","1,675,257,000","1,507,324,000","1,240,184,000","2,170,083,000","2,441,025,000","2,454,611,000","2,191,441,000","2,221,082,000","2,557,390,000","2,855,488,000","2,563,883,000"
Total Liabilities,"2,311,947,000","2,311,322,000","2,501,051,000","4,252,449,000","4,194,816,000","4,456,068,000","4,667,294,000","5,765,382,000","5,940,067,000","5,356,734,000","6,209,129,000","6,010,283,000","6,729,321,000"
Paid Up Capital,"3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000"
Reserves,"-930,931,000","-843,340,000","-761,293,000","-630,641,000","-539,638,000","-589,744,000","-551,079,000","-620,448,000","-163,582,000","445,398,000","400,988,000","-161,181,000","-263,254,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,"870,067,000","928,072,000"
Shareholder Equity,"2,069,069,000","2,156,660,000","2,238,707,000","2,369,359,000","2,460,362,000","2,410,256,000","2,448,921,000","2,379,552,000","2,836,418,000","3,445,398,000","3,400,988,000","3,708,886,000","3,664,818,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000"
