Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"1,183,279,000","1,091,181,000","877,852,000","986,873,000","1,004,902,000","1,055,999,000","1,609,679,000","1,810,434,000","1,436,288,000","1,651,617,000","2,414,177,000","3,791,473,000","1,904,313,000"
COGS,"654,990,000","651,623,000","558,354,000","764,864,000","843,322,000","778,823,000","951,434,000","1,213,800,000","1,652,677,000","1,480,673,000","1,779,933,000","2,610,072,000","2,189,052,000"
Gross Profit,"528,289,000","439,558,000","319,498,000","222,009,000","161,580,000","277,176,000","658,245,000","596,634,000","-216,389,000","170,944,000","634,244,000","1,181,401,000","-284,739,000"
Administrative Expenses,"331,664,000","273,440,000","858,010,000","248,291,000","363,966,000","272,885,000","396,294,000","410,425,000","419,630,000",0,0,0,0
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,"392,128,000","491,129,000","622,782,000","599,979,000"
Financial Charges,"122,403,000","79,039,000","56,801,000","61,420,000","50,321,000","161,353,000","200,996,000","228,311,000","274,947,000","284,159,000","530,449,000","494,135,000","460,618,000"
Other Income,"30,295,000","163,911,000","501,094,000","17,058,000","409,147,000","148,103,000","546,831,000","34,868,000","44,646,000","619,000,000","1,646,851,000","69,992,000","88,687,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"179,111,000","265,235,000",0,0,"14,719,000","14,508,000","519,620,000","705,314,000","20,303,000","3,298,000","58,848,000","39,748,000","63,443,000"
EBITDA,"131,771,000","125,236,000","28,515,000","268,875,000","525,257,000","573,339,000","800,296,000","34,363,000","-59,924,000","1,024,880,000","2,556,969,000","1,551,597,000","391,277,000"
EBIT,"47,809,000","64,794,000","-37,418,000","-9,224,000","192,042,000","137,886,000","289,162,000","-484,237,000","-611,676,000","394,518,000","1,731,118,000","588,863,000","-433,278,000"
EBT,"-74,594,000","-14,245,000","-94,219,000","-70,644,000","141,721,000","-23,467,000","88,166,000","-712,548,000","-886,623,000","110,359,000","1,200,669,000","94,728,000","-893,896,000"
Tax,"34,694,000","46,224,000","34,468,000","20,359,000","91,615,000","15,198,000","18,797,000","-255,682,000","-277,643,000","35,949,000","502,207,000","50,660,000","-387,736,000"
PAT,"-109,288,000","-60,469,000","-128,687,000","-91,003,000","50,106,000","-38,665,000","69,369,000","-456,866,000","-608,980,000","74,410,000","698,462,000","44,068,000","-506,160,000"
EPS,-0.36,-0.2,-0.43,-0.3,0.17,-0.13,0.23,-1.52,-2.03,0.25,2.33,0.15,-1.69
