Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"13,587,297,889","14,389,005,013","12,301,807,970","9,902,563,681","8,076,014,589","8,040,166,922","7,756,440,687","3,888,972,818","3,411,057,174","2,601,937,668","2,071,091,207","1,409,803,158"
COGS,"11,387,356,937","11,570,526,060","9,977,838,443","7,884,607,449","6,381,996,587","6,426,456,631","6,629,658,556","3,301,655,157","2,712,574,562","2,146,205,097","1,671,806,093","1,282,562,334"
Gross Profit,"2,199,940,952","2,818,478,953","2,323,969,527","2,017,956,232","1,694,018,002","1,613,710,291","1,126,782,131","587,317,661","698,482,612","455,732,571","399,285,114","127,240,824"
Administrative Expenses,"271,639,152","237,884,717","212,612,830","176,666,214","148,352,895","119,803,714","95,506,267","76,845,899","74,608,293","51,038,257","40,269,825","32,040,086"
Selling & Distributive Expenses,"250,513,847","318,479,866","442,597,841","348,803,820","527,246,599","707,316,540","655,548,414","260,154,677","189,296,072","154,641,601","111,914,579","75,479,250"
Financial Charges,"567,743,437","310,028,581","153,463,320","249,067,150","336,301,008","418,957,619","326,868,705","93,714,327","41,085,863","41,625,566","45,223,300","56,353,274"
Other Income,"27,079,194","38,486,946","14,518,483","23,997,515","7,495,160","12,837,774","21,332,857","7,890,321","61,306,632","14,858,632","225,180","70,042"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"91,661,438","135,930,366","104,760,520","82,330,046","40,136,768","18,381,621","2,591,931","11,938,931","31,305,444","13,867,803","13,945,079",0
EBITDA,"2,146,337,279","2,665,730,131","2,090,877,278","1,954,131,869","1,451,159,008","1,241,328,618","854,424,549","454,896,067","583,937,966","364,329,025","339,861,321","113,363,070"
EBIT,"1,613,205,709","2,164,670,950","1,578,516,819","1,434,153,667","985,776,900","781,046,190","394,468,376","246,268,475","464,579,435","251,043,542","233,380,811","19,791,530"
EBT,"1,045,462,272","1,854,642,369","1,425,053,499","1,185,086,517","649,475,892","362,088,571","67,599,671","152,554,148","423,493,572","209,417,976","188,157,511","-36,561,744"
Tax,"283,873,005","530,963,967","327,930,564","425,396,079","159,409,568","-46,131,690","51,111,541","-214,803,034","130,733,297","66,179,532","46,433,131","-5,859,010"
PAT,"761,589,267","1,323,678,402","1,097,122,935","759,690,438","490,066,324","408,220,261","16,488,130","367,357,182","292,760,275","143,238,444","141,724,380","-30,702,734"
EPS,6.91,18.02,14.94,10.34,6.67,5.56,0.23,5.3,4.22,5.71,6.14,-1.33
