Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,22.20,40.17,40.13,40.47,0.00,222.76,0.00,0.00,48.38,12.22,0.00
Plow Back,100.00,77.80,59.83,59.87,59.53,100.00,-122.76,100.00,100.00,51.62,87.78,100.00
Return on Equity,11.30,21.56,20.81,16.95,12.41,13.36,0.60,14.55,15.31,8.70,22.92,-6.21
Return on Assets,4.43,9.83,12.56,8.95,5.67,5.43,0.22,5.77,7.64,6.13,10.38,-2.46
Book Value per Share,61.18,83.57,71.78,60.99,53.75,41.61,37.37,36.42,27.60,23.75,26.77,21.39
Earning Per Share,6.91,18.02,14.94,10.34,6.67,5.56,0.23,5.30,4.22,5.71,6.14,-1.33
Net Working Capital to Total Asseets,0.00,0.00,0.09,0.04,0.04,0.03,0.00,0.01,0.02,0.20,0.02,0.00
Current Ratio,1.01,1.00,1.31,1.10,1.11,1.08,1.00,1.03,1.08,2.00,1.06,1.00
Acid Test,0.37,0.35,0.50,0.43,0.48,0.46,0.36,0.29,0.61,1.27,0.34,0.21
Times Interest Earned,2.84,6.98,10.29,5.76,2.93,1.86,1.21,2.63,11.31,6.03,5.16,0.35
Total Debt Ratio,0.61,0.54,0.40,0.47,0.54,0.59,0.64,0.60,0.50,0.30,0.55,0.60
Debt To Equity,1.55,1.19,0.66,0.90,1.19,1.46,1.76,1.52,1.00,0.42,1.21,1.53
Return on Capital Employed,0.15,0.25,0.25,0.27,0.19,0.17,0.09,0.05,0.16,0.13,0.25,0.02
Average Collection Period,48.94,33.56,19.52,24.91,38.55,34.33,32.95,20.50,3.81,5.17,6.20,5.19
Days sales Inventory,126.47,100.86,73.57,99.96,120.72,106.31,108.47,145.34,59.47,59.50,67.29,97.21
Total Assets Turnover,0.79,1.07,1.41,1.17,0.93,1.07,1.02,0.61,0.89,1.11,1.52,1.13
Gross Profit Margin,16.19,19.59,18.89,20.38,20.98,20.07,14.53,15.10,20.48,17.52,19.28,9.03
Net Profit Margin,5.61,9.20,8.92,7.67,6.07,5.08,0.21,9.45,8.58,5.50,6.84,-2.18
