Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"16,448,479,000","22,374,364,000","19,292,959,000","17,124,373,000","15,266,439,000","15,548,791,000","11,625,789,000","12,766,238,000","13,678,881,000","11,484,157,000","11,253,047,000","8,262,982,000","7,514,233,000"
COGS,"14,170,963,000","18,217,120,000","15,631,677,000","13,491,348,000","11,897,093,000","12,604,896,000","9,815,779,000","10,424,754,000","10,993,331,000","9,448,757,000","8,800,996,000","6,835,539,000","6,236,085,000"
Gross Profit,"2,277,516,000","4,157,244,000","3,661,282,000","3,633,025,000","3,369,346,000","2,943,895,000","1,810,010,000","2,341,484,000","2,685,550,000","2,035,400,000","2,452,051,000","1,427,443,000","1,278,148,000"
Administrative Expenses,"773,316,000","753,584,000","814,266,000","741,843,000","572,773,000","476,175,000","368,319,000","341,239,000","340,898,000","274,144,000","257,950,000","201,640,000","173,692,000"
Selling & Distributive Expenses,"197,290,000","288,353,000","219,219,000","185,653,000","249,291,000","198,503,000","157,757,000","176,038,000","117,320,000","106,258,000","121,796,000","99,649,000","131,802,000"
Financial Charges,"16,908,000","9,805,000","8,869,000","8,511,000","3,820,000","4,749,000","4,611,000","12,573,000","118,865,000","147,777,000","95,285,000","191,185,000","52,641,000"
Other Income,"1,408,276,000","1,521,134,000","1,446,166,000","3,095,347,000","1,167,489,000","898,102,000","624,826,000","587,822,000","454,777,000","234,650,000","201,872,000","120,313,000","219,526,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"326,672,000","291,994,000","261,582,000","345,370,000","731,906,000","217,356,000","128,294,000","172,685,000","167,448,000","120,366,000","150,017,000","84,828,000","76,237,000"
EBITDA,"2,852,133,000","4,911,245,000","4,010,988,000","5,584,227,000","3,099,456,000","3,065,903,000","1,891,862,000","2,336,156,000","3,440,959,000","1,871,862,000","2,230,334,000","1,284,299,000","1,190,326,000"
EBIT,"2,388,514,000","4,344,447,000","3,812,381,000","5,455,506,000","2,982,865,000","2,949,963,000","1,780,466,000","2,239,344,000","2,514,661,000","1,769,282,000","2,124,160,000","1,179,865,000","1,127,484,000"
EBT,"2,371,606,000","4,334,642,000","3,803,512,000","5,446,995,000","2,979,045,000","2,945,214,000","1,775,855,000","2,226,771,000","2,395,796,000","1,621,505,000","2,028,875,000","988,680,000","1,074,843,000"
Tax,"504,448,000","1,179,977,000","1,117,542,000","1,480,711,000","800,227,000","796,301,000","414,476,000","602,476,000","739,144,000","531,427,000","662,585,000","334,585,000","344,639,000"
PAT,"1,867,158,000","3,154,665,000","2,685,970,000","3,966,284,000","2,178,818,000","2,148,913,000","1,361,379,000","1,624,295,000","1,656,652,000","1,090,078,000","1,366,290,000","654,095,000","730,204,000"
EPS,23.04,38.93,33.15,48.95,26.89,26.52,16.8,20.05,22.49,17.76,26.71,15.34,17.13
