Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Payout,0.00,0.00,0.00,95.45,86.75,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,4.55,13.25,100.00,100.00,100.00,100.00,100.00
Return on Equity,-14.85,-4.39,-3.30,1.78,2.13,7.37,3.48,2.02,3.42,4.50
Return on Assets,-8.65,-2.74,-2.16,0.93,1.24,4.37,2.09,1.31,2.26,2.57
Book Value per Share,10.59,13.24,13.16,14.69,13.55,12.64,11.71,11.30,12.89,10.95
Earning Per Share,-1.57,-0.63,-0.43,0.26,0.29,0.93,0.41,0.23,0.44,0.49
Net Working Capital to Total Asseets,-0.38,-0.28,-0.22,-0.32,0.20,0.11,0.04,-0.01,0.00,-0.11
Current Ratio,0.08,0.25,0.16,0.02,1.79,1.35,1.12,0.96,1.01,0.74
Acid Test,0.08,0.25,0.16,-0.16,1.56,1.18,0.96,0.85,0.95,0.71
Times Interest Earned,-0.29,0.27,-0.66,1.53,2.01,2.52,2.01,1.56,1.96,2.16
Total Debt Ratio,0.42,0.38,0.35,0.48,0.42,0.41,0.40,0.35,0.34,0.43
Debt To Equity,0.72,0.60,0.53,0.92,0.71,0.69,0.67,0.54,0.51,0.75
Return on Capital Employed,-0.03,0.01,-0.01,0.06,0.07,0.12,0.09,0.07,0.10,0.11
Average Collection Period,0.00,0.00,0.00,292.56,246.37,214.35,174.85,179.31,169.39,152.60
Days sales Inventory,0.00,0.00,0.00,181.42,140.78,128.87,119.63,101.64,54.52,31.72
Total Assets Turnover,0.00,0.00,0.00,0.25,0.30,0.31,0.33,0.27,0.26,0.23
Gross Profit Margin,0.00,0.00,0.00,52.43,50.44,50.81,52.19,52.88,52.95,55.58
Net Profit Margin,0.00,0.00,0.00,3.78,4.07,13.87,6.29,4.78,8.75,11.08
