Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"6,040,105,000","6,760,118,000","6,094,956,000","5,355,311,000","4,734,787,000","3,954,275,000","4,153,281,000","3,399,441,000","2,820,669,000","2,280,950,000","1,814,618,000","1,573,839,000","1,166,566,000"
COGS,"4,057,489,000","4,542,466,000","4,496,693,000","3,654,833,000","3,346,178,000","2,843,970,000","2,927,412,000","2,331,199,000","2,104,814,000","1,773,942,000","1,488,080,000","1,229,500,000","1,005,152,000"
Gross Profit,"1,982,616,000","2,217,652,000","1,598,263,000","1,700,478,000","1,388,609,000","1,110,305,000","1,225,869,000","1,068,242,000","715,855,000","507,008,000","326,538,000","344,339,000","161,414,000"
Administrative Expenses,"314,910,000","581,147,000","404,100,000","387,040,000","300,184,000","186,257,000","138,112,000","133,187,000","88,589,000","74,678,000","60,085,000","47,961,000","41,804,000"
Selling & Distributive Expenses,"523,854,000","889,558,000","1,092,838,000","999,442,000","868,646,000","818,745,000","835,642,000","693,827,000","176,250,000","53,115,000","37,467,000","97,973,000","27,215,000"
Financial Charges,"1,113,628,000","973,198,000","577,503,000","478,349,000","348,139,000","394,866,000","363,282,000","402,664,000","240,153,000","225,437,000","169,631,000","119,280,000","83,570,000"
Other Income,"961,198,000","732,108,000","531,218,000","351,568,000","233,192,000","345,254,000","324,815,000","397,577,000","183,506,000","168,188,000","189,309,000","31,544,000","78,956,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,096,145,000","82,715,000","41,370,000","82,438,000","54,683,000","-756,000","18,617,000","20,592,000","26,440,000","31,848,000","47,716,000","119,746,000","53,982,000"
EBITDA,"1,287,548,000","1,640,752,000","798,278,000","773,488,000","581,278,000","615,977,000","671,036,000","724,884,000","1,302,070,000","593,720,000","432,933,000","160,072,000","161,587,000"
EBIT,"1,008,905,000","1,396,340,000","591,173,000","583,126,000","398,288,000","451,313,000","558,313,000","618,213,000","608,082,000","515,555,000","370,579,000","108,884,000","115,037,000"
EBT,"-104,723,000","423,142,000","13,670,000","104,777,000","50,149,000","56,447,000","195,031,000","215,549,000","367,929,000","290,118,000","200,948,000","-10,396,000","31,467,000"
Tax,"85,409,000","140,515,000","96,694,000","39,096,000","16,925,000","-48,669,000","-20,601,000","-3,221,000","57,941,000","68,714,000","-1,685,000","21,950,000","12,248,000"
PAT,"-190,132,000","282,627,000","-83,024,000","65,681,000","33,224,000","105,116,000","215,632,000","218,770,000","309,988,000","221,404,000","202,633,000","-32,346,000","19,219,000"
EPS,-1.14,1.73,-0.52,0.47,0.25,1.98,4.51,5.23,7.41,5.29,4.85,-7.73,4.6
