Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,414.77,128.31,47.32,38.23,26.98,18.89,10.32,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,-314.77,-28.31,52.68,61.77,73.02,81.11,89.68,100.00,100.00
Return on Equity,-1.69,2.49,-1.00,0.80,0.41,1.62,5.53,8.44,12.61,9.95,10.14,-1.71,1.33
Return on Assets,-0.88,1.29,-0.47,0.42,0.29,1.04,3.20,4.18,5.99,4.75,5.37,-0.91,0.74
Book Value per Share,66.27,68.62,51.99,58.08,58.96,120.25,76.38,61.98,58.78,53.23,47.79,452.83,345.39
Earning Per Share,-1.14,1.73,-0.52,0.47,0.25,1.98,4.51,5.23,7.41,5.29,4.85,-7.73,4.60
Net Working Capital to Total Asseets,0.04,-0.02,0.02,-0.02,0.03,0.22,0.11,0.07,-0.15,-0.11,-0.09,-0.15,-0.04
Current Ratio,1.08,0.95,1.05,0.94,1.14,1.81,1.39,1.26,0.70,0.79,0.81,0.67,0.90
Acid Test,0.95,0.84,0.96,0.79,0.79,1.48,1.07,0.85,0.49,0.59,0.59,0.46,0.66
Times Interest Earned,0.91,1.43,1.02,1.22,1.14,1.14,1.54,1.54,2.53,2.29,2.18,0.91,1.38
Total Debt Ratio,0.48,0.48,0.53,0.47,0.29,0.36,0.42,0.51,0.53,0.52,0.47,0.47,0.44
Debt To Equity,0.93,0.93,1.14,0.90,0.40,0.56,0.73,1.02,1.11,1.10,0.89,0.88,0.79
Return on Capital Employed,0.08,0.12,0.07,0.07,0.04,0.06,0.12,0.17,0.24,0.22,0.18,0.06,0.08
Average Collection Period,9.94,15.54,16.04,9.03,12.80,6.28,37.58,37.31,63.78,113.13,64.25,68.42,127.96
Days sales Inventory,111.49,87.72,64.56,101.61,95.94,116.15,76.42,96.86,94.10,97.29,94.54,95.86,95.62
Total Assets Turnover,0.28,0.31,0.34,0.34,0.42,0.39,0.62,0.65,0.54,0.49,0.48,0.44,0.45
Gross Profit Margin,32.82,32.80,26.22,31.75,29.33,28.08,29.52,31.42,25.38,22.23,18.00,21.88,13.84
Net Profit Margin,-3.15,4.18,-1.36,1.23,0.70,2.66,5.19,6.43,10.99,9.71,11.17,-2.06,1.65
