Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"59,000","101,000","26,000","126,000","300,000","203,000","188,000","93,000","726,000","1,145,000","1,311,000","1,800,000","791,000"
Investments,"21,778,686,000","16,392,528,000","16,138,471,000","13,462,261,000","12,919,989,000","3,372,743,000","3,274,187,000","3,303,859,000","1,104,515,000","1,005,167,000","1,055,171,000","2,532,517,000","1,474,704,000"
Cash in Hand and Bank,"3,308,000","1,685,000","799,000","1,715,000","3,758,000","9,610,000","2,068,000","1,569,000","2,952,000","796,000","2,375,000","3,617,000","2,176,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Debts,0,0,0,0,"16,856,000","583,000","566,000",0,"540,000",0,0,0,0
Current Assets,"1,583,862,000","1,685,000","1,634,597,000","226,711,000","691,423,000","49,363,000","3,872,000","3,361,000","9,113,000","13,527,000","16,063,000","15,113,000","24,464,000"
Quick Assets,"1,583,862,000","1,685,000","1,634,597,000","226,711,000","691,423,000","49,363,000","3,872,000","3,361,000","9,113,000","13,527,000","16,063,000","15,113,000","24,464,000"
Total Assets,"23,362,682,000","17,974,035,000","17,773,169,000","15,234,192,000","14,541,338,000","3,890,709,000","3,278,322,000","3,307,388,000","1,114,429,000","1,019,914,000","1,072,728,000","2,549,613,000","1,500,439,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,"98,000","566,000",0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,0,0,0,0,0,0,0,0,0,"208,000","468,000","305,000",0
* Non Interest Bearing Short Term Liability,"14,277,000","9,529,000","68,414,000","68,838,000","67,623,000","91,685,000","184,554,000","99,378,000","96,000,000","69,053,000","56,464,000","39,684,000","35,589,000"
Trades Payables,"14,277,000","9,529,000","68,414,000","68,838,000","67,623,000","91,685,000","184,554,000","99,378,000","72,655,000","45,581,000","31,343,000","12,095,000","29,966,000"
Total Current Liabilities,"29,127,000","28,916,000","83,975,000","226,237,000","81,308,000","93,903,000","184,554,000","161,874,000","96,000,000","69,261,000","56,932,000","39,989,000","35,589,000"
Total Liabilities,"3,958,310,000","2,820,296,000","2,914,436,000","2,454,566,000","2,187,652,000","93,903,000","184,554,000","161,874,000","96,173,000","69,261,000","57,030,000","40,555,000","35,589,000"
Paid Up Capital,"5,453,907,000","5,453,907,000","5,453,907,000","5,453,907,000","5,453,907,000","4,453,907,000","3,853,907,000","3,853,907,000","3,853,907,000","3,853,907,000","3,853,907,000","3,853,907,000","3,853,907,000"
Reserves,"13,950,465,000","9,699,832,000","9,404,826,000","7,325,719,000","6,899,779,000","-657,101,000","-760,139,000","-708,393,000","-2,835,651,000","-2,903,254,000","-2,838,209,000","-1,344,849,000","-2,389,057,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"19,404,372,000","15,153,739,000","14,858,733,000","12,779,626,000","12,353,686,000","3,796,806,000","3,093,768,000","3,145,514,000","1,018,256,000","950,653,000","1,015,698,000","2,509,058,000","1,464,850,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"545,390,700","545,390,700","545,390,700","545,390,665","545,390,665","445,390,665","385,390,665","385,390,700","385,390,700","385,390,700","385,390,700","385,390,700","385,390,700"
