Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.53,100.00
Return on Equity,0.39,0.01,-1.46,0.04,0.79,0.05,-0.79,63.83,-2.44,-7.44,-159.18,30.54,-167.24
Return on Assets,0.33,0.01,-1.22,0.04,0.67,0.05,-0.75,60.70,-2.23,-6.94,-150.72,30.06,-163.28
Book Value per Share,35.58,27.79,27.24,23.43,22.65,8.52,8.03,8.16,2.64,2.47,2.64,6.51,3.80
Earning Per Share,0.14,0.00,-0.40,0.01,0.18,0.01,-0.06,5.21,-0.06,-0.18,-4.20,1.99,-6.36
Net Working Capital to Total Asseets,0.07,-0.00,0.09,0.00,0.04,-0.01,-0.06,-0.05,-0.08,-0.05,-0.04,-0.01,-0.01
Current Ratio,54.38,0.06,19.47,1.00,8.50,0.53,0.02,0.02,0.09,0.20,0.28,0.38,0.69
Acid Test,54.38,0.06,19.47,1.00,8.50,0.53,0.02,0.02,0.09,0.20,0.28,0.38,0.69
Times Interest Earned,0.00,0.00,0.00,0.00,9.52,1.67,0.00,0.00,-8237.67,-1442.63,-22147.38,7441.06,-128938.58
Total Debt Ratio,0.17,0.16,0.16,0.16,0.15,0.02,0.06,0.05,0.09,0.07,0.05,0.02,0.02
Debt To Equity,0.20,0.19,0.20,0.19,0.18,0.02,0.06,0.05,0.09,0.07,0.06,0.02,0.02
Return on Capital Employed,0.00,0.00,-0.01,0.00,0.01,0.00,-0.01,0.64,-0.02,-0.07,-1.59,0.31,-1.67
Average Collection Period,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.49,0.00,0.00,0.00,0.00
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Assets Turnover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Gross Profit Margin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,-1184.71,100.00,100.00,100.00,100.00
Net Profit Margin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144644.67,-1193.14,-11928.84,-223628.22,2650.27,-100198.45
