Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,-0.10,-0.18,-0.40,-0.16,-0.18,-0.33,0.04,-0.04,0.01,-0.05
Current Ratio,0.78,0.66,0.44,0.78,0.78,0.68,1.06,0.94,1.01,0.91
Time Interest Earn,103.92,30.00,6.03,1.40,-1.79,-0.83,1.31,-0.32,-0.12,1.12
Return on Capital Employed,0.03,0.01,0.01,0.01,-0.12,8.74,0.43,-0.12,-0.05,0.18
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-5.95,-1.41,-0.84,-0.31,0.00,0.00,-93.11,0.00,-446.72,15.24
Return on Assets,1.30,0.51,0.32,0.09,-3.13,-25.96,3.09,-11.88,-11.05,1.85
Book Value per Share,-6.91,-17.60,-22.42,-18.76,-23.46,-20.98,-3.05,-4.41,2.73,16.78
Earning Per Share,0.60,0.25,0.19,0.07,-2.47,-17.93,2.12,-12.16,-12.22,2.56
