Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"6,038,793,000","6,073,755,000","6,174,706,000","6,346,761,000","6,731,234,000","7,215,407,000","7,535,042,000","6,467,014,000","2,430,754,000","1,853,983,000","2,075,859,000"
Investments,0,0,0,0,0,0,0,0,"262,884,000",0,0
Cash in Hand and Bank,"212,295,000","43,870,000","205,024,000","176,741,000","378,033,000","697,646,000","666,035,000","618,872,000","476,434,000","350,210,000","229,766,000"
Stores and Spares,"475,652,000","431,231,000","399,846,000","408,767,000","348,894,000","384,683,000","343,874,000","396,582,000","321,433,000","237,119,000","198,796,000"
Stock in Trade,"1,730,900,000","2,143,897,000","1,454,257,000","1,380,062,000","1,293,873,000","1,677,648,000","2,485,187,000","2,344,940,000","1,542,125,000","1,052,338,000","1,002,595,000"
Trade Debts,"2,292,142,000","2,324,698,000","1,653,372,000","1,508,480,000","1,227,890,000","1,523,529,000","1,778,982,000","1,204,616,000","991,922,000","767,252,000","887,659,000"
Current Assets,"6,267,526,000","6,523,434,000","5,011,279,000","4,792,064,000","4,573,597,000","5,848,431,000","6,186,428,000","4,922,654,000","3,741,824,000","2,526,163,000","2,420,082,000"
Quick Assets,"4,060,974,000","3,948,306,000","3,157,176,000","3,003,235,000","2,930,830,000","3,786,100,000","3,357,367,000","2,181,132,000","1,878,266,000","1,236,706,000","1,218,691,000"
Total Assets,"12,329,474,000","12,604,788,000","11,194,614,000","11,145,080,000","11,314,925,000","13,076,574,000","13,735,634,000","11,400,241,000","6,193,500,000","4,399,745,000","4,516,827,000"
Interest Bearing Long Term Liability,"900,187,000","1,070,001,000","1,424,024,000","2,544,408,000","3,664,793,000","4,515,176,000","4,576,924,000","4,101,924,000","250,000,000","375,000,000","608,000,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"3,969,521,000","5,714,135,000","3,793,259,000","1,632,309,000","3,133,281,000","4,676,971,000","3,788,531,000","2,690,817,000","1,354,758,000","528,873,000","822,312,000"
* Non Interest Bearing Short Term Liability,"3,836,239,000","1,800,326,000","1,723,766,000","2,949,524,000","2,313,891,000","2,137,872,000","2,917,623,000","2,130,572,000","2,110,266,000","1,472,223,000","1,212,883,000"
Trades Payables,"3,718,282,000","1,705,841,000","1,663,747,000","2,900,505,000","2,234,051,000","1,969,647,000","2,742,581,000","1,967,423,000","2,073,526,000","1,443,822,000","1,163,309,000"
Total Current Liabilities,"7,822,735,000","7,531,001,000","5,517,025,000","4,581,833,000","5,447,172,000","6,814,843,000","6,750,025,000","4,821,389,000","3,544,749,000","2,001,096,000","2,035,195,000"
Total Liabilities,"9,070,114,000","8,873,309,000","7,240,145,000","7,344,262,000","9,201,123,000","11,442,121,000","11,660,449,000","9,192,456,000","3,972,303,000","2,608,620,000","2,920,547,000"
Paid Up Capital,"388,000,000","388,000,000","388,000,000","388,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000"
Reserves,"2,871,360,000","3,343,479,000","3,566,469,000","3,412,818,000","1,813,802,000","1,334,453,000","1,775,185,000","1,907,785,000","1,921,197,000","1,491,125,000","1,296,280,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"3,259,360,000","3,731,479,000","3,954,469,000","3,800,818,000","2,113,802,000","1,634,453,000","2,075,185,000","2,207,785,000","2,221,197,000","1,791,125,000","1,596,280,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"38,800,000","38,800,000","38,800,000","38,800,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000"
