Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,98.63,67.76,51.43,30.11,0.00,0.00,56.17,0.00,60.63,64.64
Plow Back,100.00,1.37,32.24,48.57,69.89,100.00,100.00,43.83,100.00,39.38,35.35
Return on Equity,-9.51,4.22,14.48,19.85,23.57,-12.21,10.08,24.19,35.23,27.63,29.07
Return on Assets,-2.51,1.25,5.12,6.77,4.40,-1.53,1.52,4.68,12.64,11.25,10.27
Book Value per Share,84.00,96.17,101.92,97.96,70.46,54.48,69.17,73.59,74.04,59.70,53.21
Earning Per Share,-7.98,4.06,14.76,20.15,14.86,-6.65,6.97,17.80,26.09,16.49,15.47
Net Working Capital to Total Asseets,-0.13,-0.08,-0.05,0.02,-0.08,-0.07,-0.04,0.01,0.03,0.12,0.09
Current Ratio,0.80,0.87,0.91,1.05,0.84,0.86,0.92,1.02,1.06,1.26,1.19
Acid Test,0.52,0.52,0.57,0.66,0.54,0.56,0.50,0.45,0.53,0.62,0.60
Times Interest Earned,0.98,1.43,3.28,3.01,1.60,0.64,1.52,5.75,10.79,4.52,3.52
Total Debt Ratio,0.74,0.70,0.65,0.66,0.81,0.88,0.85,0.81,0.64,0.59,0.65
Debt To Equity,2.78,2.38,1.83,1.93,4.35,7.00,5.62,4.16,1.79,1.46,1.83
Return on Capital Employed,0.18,0.14,0.21,0.21,0.21,0.09,0.13,0.15,0.50,0.39,0.31
Average Collection Period,56.98,64.16,49.24,46.75,37.49,40.90,54.34,42.94,36.17,36.75,56.98
Days sales Inventory,61.05,79.33,64.51,66.99,59.39,60.83,98.19,114.21,82.42,73.53,93.40
Total Assets Turnover,1.19,1.05,1.09,1.06,1.06,1.04,0.87,0.90,1.62,1.73,1.26
Gross Profit Margin,10.15,10.41,14.41,17.25,15.54,8.99,12.00,14.44,17.55,16.01,17.42
Net Profit Margin,-2.11,1.19,4.67,6.41,4.17,-1.47,1.75,5.21,7.82,6.49,8.16
