Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Long Term Loans & Advances,"2,130,000","1,675,149","1,825,149","525,149","725,149","925,149","2,395,136","738,649","1,088,649","1,088,649","1,038,649","1,235,900","1,235,900","984,650","1,234,150"
Investments,"11,572,700","5,009,821","3,008,240","2,720,000","3,455,173","5,181,294","5,774,418","5,483,842","6,870,379","7,488,567","6,727,585","6,720,478","28,183,330","36,358,935","703,509"
Fixed Assets,"16,326,842","13,475,292","1,912,030","1,035,402","3,603,295","3,668,342","1,444,679","1,699,139","2,012,968","2,420,960","2,936,789","3,464,958","4,130,255","3,227,117","2,296,176"
Cash in Hand and Bank,"37,248,528","85,333,827","125,272,660","21,530,797","18,374,515","25,332,606","18,175,516","16,761,845","6,969,275","6,034,848","12,353,377","4,282,398","13,305,328","18,774,959","42,248,670"
Current Assets,"261,142,201","218,515,581","212,782,288","28,732,116","24,761,996","36,111,025","52,721,094","45,155,305","51,212,231","57,070,306","70,808,630","86,440,119","87,600,637","84,444,060","80,428,670"
Total Assets,"297,878,618","242,949,456","223,282,067","34,555,267","33,392,463","45,019,560","61,217,077","52,147,685","58,815,867","64,965,002","79,174,253","95,524,055","97,506,502","93,477,362","88,825,105"
Total Non Current Liabilities,0,0,0,0,0,0,0,0,0,"1,999,004","2,022,340","1,915,367","2,314,840","95,730",0
Total Current Liabilities,"92,747,702","72,709,154","29,605,317","22,525,066","18,744,572","38,172,421","37,668,866","23,348,542","16,641,342","11,161,946","14,726,672","21,738,520","20,723,295","23,951,363","23,010,206"
Total Liabilities,"92,747,702","72,709,154","29,605,317","22,525,066","18,744,572","38,172,421","37,668,866","23,348,542","16,641,342","13,160,950","16,749,012","23,653,887","23,038,135","24,047,093","23,010,206"
Paid Up Capital,"300,000,000","300,000,000","300,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000"
Reserves,"-94,869,084","-129,759,698","-106,323,250","-87,969,799","-85,352,109","-93,152,861","-76,451,789","-71,200,857","-57,825,475","-48,195,948","-37,574,759","-28,129,832","-25,531,633","-30,569,731","-34,185,101"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"205,130,916","170,240,302","193,676,750","12,030,201","14,647,891","6,847,139","23,548,211","28,799,143","42,174,525","51,804,052","62,425,241","71,870,168","74,468,367","69,430,269","65,814,899"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"30,000,000","30,000,000","30,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
