Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Net Working Capital to Total Asseets,0.57,0.60,0.82,0.18,0.18,-0.05,0.25,0.42,0.59,0.71,0.71,0.68,0.69,0.65,0.65
Current Ratio,2.82,3.01,7.19,1.28,1.32,0.95,1.40,1.93,3.08,5.11,4.81,3.98,4.23,3.53,3.50
Time Interest Earn,37.57,-18.48,-15.80,-207.44,774.27,-1734.80,-528.70,-1719.52,-1568.29,-867.32,-17.49,-2.13,94.30,4.91,0.00
Return on Capital Employed,0.15,-0.13,-0.09,-0.20,0.54,-2.38,-0.22,-0.50,-0.23,-0.20,-0.14,-0.02,0.09,0.08,0.09
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,17.01,-13.77,-9.58,-21.53,53.34,-240.29,-22.73,-46.63,-23.11,-20.53,-15.51,-3.26,7.14,5.27,7.18
Return on Assets,11.71,-9.65,-8.31,-7.49,23.40,-36.55,-8.74,-25.75,-16.57,-16.37,-12.23,-2.45,5.46,3.92,5.32
Book Value per Share,6.84,5.67,6.46,1.20,1.46,0.68,2.35,2.88,4.22,5.18,6.24,7.19,7.45,6.94,6.58
Earning Per Share,1.16,-0.78,-0.91,-0.26,0.78,-1.65,-0.54,-1.34,-0.97,-1.06,-0.97,-0.23,0.53,0.37,0.53
