Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2004
Markup Interest Earned,"152,003,210,000","153,676,364,000","113,198,299,000","107,205,820,000","98,219,214,000","94,352,931,000","82,735,467,000","72,846,281,000","73,507,415,000","70,450,475,000","59,331,761,000","60,857,035,000","51,919,229,000","20,158,860,000","9,233,881,000"
Markup Expense,"77,044,038,000","91,901,868,000","56,964,028,000","50,781,440,000","41,176,686,000","38,511,161,000","37,768,546,000","34,910,356,000","34,947,698,000","31,025,869,000","25,223,253,000","28,163,787,000","24,061,790,000","6,045,948,000","1,732,760,000"
Net Income Before Provision,"50,960,618,000","42,461,661,000","44,537,958,000","56,424,380,000","57,042,528,000","55,841,770,000","44,966,921,000","37,935,925,000","38,559,717,000","39,424,606,000","34,108,508,000","32,693,248,000","27,857,439,000","14,112,912,000","7,501,121,000"
Net Income After Provision,"34,192,470,000","34,241,869,000","24,966,664,000","53,827,086,000","55,563,662,000","52,209,590,000","44,084,947,000","36,632,754,000","34,422,817,000","32,133,696,000","26,103,808,000","20,077,874,000","19,760,154,000","12,685,104,000","7,162,247,000"
Non Markup Income,"17,094,339,000","21,676,331,000","25,071,809,000","22,162,142,000","23,608,642,000","21,987,007,000","19,296,047,000","18,113,795,000","17,131,218,000","12,718,253,000","10,120,632,000","11,669,561,000","10,679,614,000","5,013,032,000","4,497,826,000"
Revenue,"169,097,549,000","175,352,695,000","138,270,108,000","129,367,962,000","121,827,856,000","116,339,938,000","102,031,514,000","90,960,076,000","90,638,633,000","83,168,728,000","69,452,393,000","72,526,596,000","62,598,843,000","25,171,892,000","13,731,707,000"
Non Markup Expense,"41,092,893,000","40,989,166,000","36,768,122,000","35,829,187,000","33,156,708,000","32,021,912,000","29,982,904,000","26,939,637,000","24,525,108,000","20,629,158,000","18,482,222,000","17,712,934,000","16,565,344,000","8,216,488,000","6,770,345,000"
EBT,"34,192,470,000","34,241,869,000","24,966,664,000","40,160,041,000","46,015,596,000","42,174,685,000","33,398,090,000","27,806,912,000","27,028,927,000","24,222,791,000","17,742,218,000","14,034,501,000","13,874,424,000","9,481,648,000","4,889,728,000"
Tax,"13,293,687,000","15,108,095,000","9,740,569,000","14,738,809,000","18,285,484,000","16,447,536,000","11,468,529,000","9,192,957,000","9,022,199,000","8,723,128,000","6,582,288,000","4,841,814,000","5,541,304,000","3,532,616,000","1,188,184,000"
PAT,"20,898,783,000","19,133,774,000","15,226,095,000","25,421,232,000","27,730,112,000","25,727,149,000","21,929,561,000","18,613,955,000","18,006,728,000","15,499,663,000","11,159,930,000","9,192,687,000","8,333,120,000","5,949,032,000","3,701,544,000"
EPS,17.07,15.63,12.44,20.77,22.65,21.02,17.91,15.21,14.71,12.66,9.12,8.26,7.49,11.48,7.15
