Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,100.24,103.00,93.11,178.04,74.96,49.40,99.88,99.88,99.85,99.94,118.42
Plow Back,-0.24,-3.00,6.89,-78.04,25.04,50.60,0.12,0.12,0.15,0.06,-18.42
Return on Equity,106.45,90.66,747.05,70.70,73.40,149.58,223.41,121.02,125.46,108.18,65.81
Return on Assets,34.60,29.16,33.22,27.63,27.89,33.81,43.19,35.66,34.90,40.15,18.14
Book Value per Share,361.73,299.83,29.47,293.12,272.60,127.22,73.04,95.97,79.83,65.67,43.63
Earning Per Share,385.08,274.48,220.16,207.24,200.09,190.29,163.17,116.00,100.15,71.04,28.71
Net Working Capital to Total Asseets,-0.16,-0.14,-0.41,-0.03,-0.06,-0.29,-0.24,-0.03,-0.08,0.05,-0.08
Current Ratio,0.74,0.79,0.54,0.94,0.90,0.61,0.68,0.96,0.88,1.09,0.88
Acid Test,0.51,0.53,0.26,0.56,0.51,0.27,0.33,0.37,0.36,0.51,0.37
Times Interest Earned,21.79,36.76,74.82,52.28,47.15,34.94,162.88,132.21,133.61,52.88,11.73
Total Debt Ratio,0.67,0.68,0.96,0.61,0.62,0.77,0.81,0.71,0.72,0.63,0.72
Debt To Equity,2.08,2.11,21.49,1.56,1.63,3.42,4.17,2.39,2.60,1.69,2.63
Return on Capital Employed,1.13,1.24,4.93,0.89,0.90,1.94,2.62,1.52,1.54,1.49,0.90
Average Collection Period,23.84,15.62,14.90,11.64,8.90,9.58,9.59,9.10,13.93,8.73,8.61
Days sales Inventory,48.42,56.49,64.41,68.61,75.62,72.12,55.53,77.08,73.82,54.70,59.94
Total Assets Turnover,1.87,2.00,2.63,2.05,1.94,2.25,2.99,2.92,2.80,3.71,3.46
Gross Profit Margin,40.86,45.04,44.98,44.39,44.71,43.15,41.78,38.00,38.96,37.98,37.15
Net Profit Margin,18.45,14.55,12.62,13.48,14.38,15.05,14.44,12.20,12.48,10.83,5.24
