Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"297,682,203","332,754,853","307,614,061","170,642,211","148,721,633","159,030,238","167,015,181","109,571,385","92,989,329","100,181,035","105,208,665","110,110,743","109,851,654"
Investments,"2,818,979","2,678,133","2,679,516","2,690,788","25,224,803","33,297,787","38,290,492","38,878,087","38,747,332","38,565,197","35,777,045","35,154,628","34,039,653"
Cash in Hand and Bank,"24,608,858","20,660,594","19,063,993","4,384,163","7,795,339","4,463,045","10,105,723","164,175,056","103,738,762","71,904,392","24,373,129","18,652,577","6,822,034"
Stores and Spares,"52,368,690","50,771,164","49,875,402","44,516,967","39,734,694","46,845,169","53,600,855","40,786,085","41,938,443","33,775,221","30,524,556","32,043,495","20,030,944"
Stock in Trade,"306,618,215","377,656,323","281,257,806","187,227,753","112,713,920","105,116,514","191,369,106","77,620,884","111,784,778","37,283,832","51,422,677","50,339,369","117,444,804"
Trade Debts,"845,019,571","819,312,359","442,532,051","423,456,278","396,261,226","358,480,568","323,692,204","222,563,582","218,068,260","230,110,597","241,500,249","283,804,965","247,918,034"
Current Assets,"1,499,436,468","1,526,566,644","1,020,091,547","835,026,801","701,974,868","677,274,752","704,235,912","544,732,833","491,636,969","385,464,194","358,410,680","397,846,820","428,841,054"
Quick Assets,"1,140,449,563","1,098,139,157","688,958,339","603,282,081","549,526,254","525,313,069","459,265,951","426,325,864","337,913,748","314,405,141","276,463,447","315,463,956","291,365,306"
Total Assets,"1,807,417,993","1,859,321,497","1,327,705,608","1,011,627,533","873,338,638","867,020,112","906,958,920","691,069,710","620,790,964","521,530,808","496,725,611","540,464,959","570,098,042"
Interest Bearing Long Term Liability,"40,036,569","54,857,143","82,285,714",0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"605,177,194","638,109,602","230,086,764","217,968,436","151,572,477","230,100,927","201,777,987",0,0,0,"661,942","60,536,669","87,091,151"
* Non Interest Bearing Short Term Liability,"165,164,427","263,446,193","224,454,484","120,936,694","152,735,109","134,022,338","174,773,719","184,711,316","169,874,375","89,209,303","79,455,600","72,604,071","122,698,911"
Trades Payables,"156,817,788","263,446,193","222,725,992","119,985,111","150,422,100","129,041,157","169,655,194","184,711,316","169,874,375","89,149,689","78,783,228","69,420,292","120,735,186"
Total Current Liabilities,"776,747,761","908,501,967","460,536,865","347,571,782","306,079,886","364,154,287","378,245,242","184,711,316","181,891,775","109,814,465","103,583,641","174,645,947","253,242,211"
Total Liabilities,"823,786,187","971,676,322","549,325,575","353,016,753","311,574,937","374,560,026","391,801,010","190,684,154","190,646,406","120,119,633","114,608,588","189,339,007","270,977,835"
Paid Up Capital,"90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000"
Reserves,"893,631,806","797,645,175","688,380,033","568,610,780","471,763,701","402,460,086","425,157,910","410,385,556","340,144,558","311,411,175","292,117,023","261,125,952","209,120,207"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"983,631,806","887,645,175","778,380,033","658,610,780","561,763,701","492,460,086","515,157,910","500,385,556","430,144,558","401,411,175","382,117,023","351,125,952","299,120,207"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000"
