Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"1,950,049,489","2,262,829,003","1,680,925,403","1,250,740,289","1,181,517,750","1,209,910,970","1,303,980,097","1,211,237,651","1,147,501,226","698,678,000","712,677,204","715,258,168","697,510,108"
COGS,"1,624,055,817","1,907,954,654","1,344,699,337","980,288,459","945,171,338","1,081,857,280","1,110,138,093","977,397,599","957,651,571","546,765,874","527,201,175","490,092,246","475,788,368"
Gross Profit,"325,993,672","354,874,349","336,226,066","270,451,830","236,346,412","128,053,690","193,842,004","233,840,052","189,849,655","151,912,126","185,476,029","225,165,922","221,721,740"
Administrative Expenses,"12,119,827","14,728,173","36,396,253","31,497,018","34,104,858","18,237,966","18,737,567","26,510,875","26,987,884","11,040,063","20,269,626","17,775,474","24,874,508"
Selling & Distributive Expenses,"9,861,794","10,265,806","27,064,118","30,786,997","51,708,786","59,115,038","58,556,133","50,102,144","43,560,771","34,632,754","37,363,743","33,632,787","27,317,718"
Financial Charges,"77,191,614","48,691,364","6,980,403","7,641,174","14,975,505","26,449,881","9,997,647","481,496","569,085","4,370,951","7,198,199","19,701,492","13,737,037"
Other Income,"5,417,448","4,596,249","2,619,285","3,108,851","-5,514,196","4,667,651","6,297,403","11,165,071","7,536,811","3,390,762","5,604,140","3,152,456","8,758,299"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"49,292,291","36,180,337","18,948,176","14,575,846","9,958,268","2,434,224","8,222,735","11,972,485","9,301,122","7,415,576","9,246,096","11,150,218","12,036,384"
EBITDA,"293,429,244","323,336,195","272,334,501","210,377,736","148,155,696","66,077,769","124,732,481","163,596,978","124,796,195","107,261,325","132,270,071","172,260,143","173,671,474"
EBIT,"260,137,208","298,296,282","256,436,804","196,700,820","135,060,304","52,934,113","114,622,972","156,419,619","117,536,689","102,214,495","124,200,704","165,759,899","166,251,430"
EBT,"182,945,594","249,604,918","249,456,401","189,059,646","120,084,799","26,484,232","104,625,325","155,938,123","116,967,604","97,843,544","117,002,505","146,058,407","152,514,393"
Tax,"52,638,246","73,112,461","75,354,487","57,954,960","41,615,541","14,221,210","37,850,648","40,697,125","43,234,221","33,549,392","41,011,434","49,052,662","50,521,719"
PAT,"130,307,348","176,492,457","174,101,914","131,104,686","78,469,258","12,263,022","66,774,677","115,240,998","73,733,383","64,294,152","75,991,071","97,005,745","101,992,674"
EPS,14.48,19.61,19.34,14.57,8.72,1.36,7.42,12.8,8.19,7.14,8.44,10.78,11.33
