Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"6,818,406,000","5,989,610,000","3,006,517,000","1,399,606,000","1,574,371,000","1,668,291,000","2,222,510,000","2,331,837,000","2,291,397,000","2,158,168,000","1,999,476,000","1,926,680,000"
COGS,"5,953,268,000","5,423,108,000","2,621,131,000","910,317,000","1,189,361,000","1,272,862,000","1,659,485,000","1,736,225,000","1,762,747,000","1,656,501,000","1,553,804,000","1,478,226,000"
Gross Profit,"865,138,000","566,502,000","385,386,000","489,289,000","385,010,000","395,429,000","563,025,000","595,612,000","528,650,000","501,667,000","445,672,000","448,454,000"
Administrative Expenses,"195,144,000","125,613,000","124,762,000","68,046,000","68,943,000","58,808,000","54,607,000","50,255,000","45,003,000","44,047,000","39,999,000","36,176,000"
Selling & Distributive Expenses,"288,824,000","185,083,000","297,462,000","444,943,000","301,799,000","311,062,000","259,556,000","270,283,000","232,579,000","237,933,000","193,085,000","210,305,000"
Financial Charges,"826,298,000","423,474,000","296,096,000","141,794,000","158,295,000","199,685,000","184,576,000","212,529,000","198,074,000","176,516,000","165,177,000","125,422,000"
Other Income,"953,190,000","666,013,000","557,349,000","302,725,000","15,116,000","16,323,000","13,586,000","9,183,000","8,361,000","8,965,000","3,901,000","5,358,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"146,728,000","108,768,000","48,959,000","12,604,000","62,912,000","248,692,000","22,680,000","18,564,000","16,329,000","12,196,000","12,687,000","13,119,000"
EBITDA,"1,439,264,000","980,246,000","591,040,000","338,584,000","17,841,000","-164,214,000","274,691,000","295,669,000","316,923,000","241,087,000","227,492,000","214,693,000"
EBIT,"1,187,632,000","813,051,000","471,552,000","266,421,000","-33,528,000","-206,810,000","239,768,000","265,693,000","243,100,000","216,456,000","203,802,000","194,212,000"
EBT,"361,334,000","389,577,000","175,456,000","124,627,000","-191,823,000","-406,495,000","55,192,000","53,164,000","45,026,000","39,940,000","38,625,000","68,790,000"
Tax,"101,249,000","-63,092,000","-13,002,000","29,250,000","-41,057,000","-120,776,000","18,933,000","15,798,000","14,406,000","12,019,000","11,410,000","16,229,000"
PAT,"260,085,000","452,669,000","188,458,000","95,377,000","-150,766,000","-285,719,000","36,259,000","37,366,000","30,620,000","27,921,000","27,215,000","52,561,000"
EPS,1.39,2.77,3.5,2.1,-3.32,-6.29,0.8,0.91,0.82,0.82,0.88,1.69
