Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"8,722,883,000","8,276,110,000","6,924,723,000","8,079,493,000","8,084,786,000","12,503,346,000","13,539,022,000","13,784,695,000","14,178,034,000","13,546,422,000","13,641,558,000","12,443,296,000"
Investments,"137,379,000","138,325,000","104,761,000","189,319,000","126,380,000","97,967,000","243,667,000","160,474,000","260,563,000","400,372,000","454,601,000","462,229,000"
Cash in Hand and Bank,"40,083,000","7,258,000","22,220,000","119,970,000","29,900,000","749,999,000","2,501,852,000","100,742,000","327,028,000","183,960,000","336,480,000","564,188,000"
Stores and Spares,"40,592,000","60,661,000","76,291,000","88,179,000","115,535,000","223,264,000","186,253,000","225,091,000","235,415,000","192,075,000","317,614,000","418,575,000"
Stock in Trade,"204,777,000","204,777,000","67,258,000","67,290,000","67,175,000","273,614,000","243,898,000","208,140,000","201,901,000","192,917,000","182,105,000","143,253,000"
Trade Debts,"896,749,000","1,674,557,000","1,075,745,000","761,262,000","481,246,000","911,906,000","1,043,058,000","2,624,883,000","3,252,683,000","2,016,418,000","2,116,744,000","975,888,000"
Current Assets,"1,986,884,000","2,751,104,000","1,965,245,000","1,911,634,000","2,519,247,000","3,151,309,000","5,504,999,000","5,115,271,000","5,582,845,000","3,634,441,000","4,262,091,000","3,437,898,000"
Quick Assets,"1,741,515,000","2,485,666,000","1,821,696,000","1,756,165,000","2,336,537,000","2,654,431,000","5,074,848,000","4,682,040,000","5,145,529,000","3,249,449,000","3,762,372,000","2,876,070,000"
Total Assets,"15,467,119,000","15,816,619,000","14,408,417,000","15,763,217,000","14,625,469,000","25,054,270,000","26,777,032,000","25,707,625,000","25,529,495,000","22,006,272,000","22,815,877,000","21,003,914,000"
Interest Bearing Long Term Liability,"3,246,658,000","2,014,956,000","719,889,000","42,887,000","89,359,000","2,388,674,000","4,298,444,000","4,500,443,000","4,230,688,000","2,182,041,000","3,383,403,000","4,081,577,000"
Non Interest Bearing Long Term Liability,0,"838,631,000","105,000,000","35,136,000","35,136,000","35,421,000","42,333,000","42,458,000","1,537,281,000","929,569,000","2,169,380,000","1,520,910,000"
Interest Bearing Short Term Liability,"1,244,328,000","866,298,000","2,169,608,000","6,207,696,000","5,794,959,000","3,362,103,000","2,687,947,000","3,251,123,000","3,192,992,000","3,617,135,000","2,904,251,000","942,389,000"
* Non Interest Bearing Short Term Liability,"6,230,518,000","7,106,614,000","8,096,889,000","12,298,403,000","10,957,265,000","7,399,670,000","7,298,882,000","6,193,081,000","5,751,410,000","4,820,574,000","2,405,726,000","2,037,790,000"
Trades Payables,"6,093,671,000","6,984,430,000","7,556,218,000","11,914,311,000","10,703,621,000","7,197,619,000","7,040,571,000","5,947,891,000","4,589,727,000","4,650,005,000","2,239,121,000","1,862,419,000"
Total Current Liabilities,"7,949,320,000","8,324,944,000","11,465,012,000","19,527,599,000","17,773,724,000","14,191,211,000","11,008,329,000","10,465,704,000","8,944,402,000","8,437,709,000","5,309,977,000","2,980,179,000"
Total Liabilities,"12,428,274,000","12,534,631,000","12,543,114,000","20,623,807,000","18,798,467,000","17,577,603,000","16,809,603,000","16,750,660,000","15,178,746,000","11,776,298,000","11,436,824,000","9,294,280,000"
Paid Up Capital,"11,615,252,000","10,835,944,000","11,211,158,000","8,605,716,000","8,605,716,000","8,605,716,000","8,605,716,000","8,605,716,000","8,605,716,000","8,605,716,000","8,605,716,000","8,605,716,000"
Reserves,"-11,938,224,000","-11,605,944,000","-13,101,340,000","-17,701,855,000","-16,316,414,000","-5,549,330,000","-2,533,947,000","3,119,000","1,401,788,000","1,285,898,000","2,441,763,000","2,779,159,000"
Preferred Equity,"2,114,651,000","2,585,646,000","3,150,236,000","3,537,700,000","3,537,700,000","3,537,700,000","3,537,700,000",0,0,0,0,0
Surplus On Revaluation of Assets,"1,247,166,000","1,466,342,000","605,249,000","697,849,000",0,"882,581,000","357,960,000","348,130,000","343,245,000","338,360,000","331,574,000","324,759,000"
Shareholder Equity,"3,038,845,000","3,281,988,000","1,865,303,000","-4,860,590,000","-4,172,998,000","7,476,667,000","9,967,429,000","8,956,965,000","10,350,749,000","10,229,974,000","11,379,053,000","11,709,634,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,161,525,200","1,083,594,400","1,121,115,800","860,571,513","860,571,513","860,571,513","860,571,513","860,571,513","860,571,513","860,571,513","860,571,513","860,571,513"
