Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"9,411,000","15,123,000","13,485,000","6,650,000","16,900,000","382,239,000","264,195,000","207,974,000","149,789,000","134,964,000","144,887,000","179,681,000"
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"705,119,000","1,149,185,000","907,654,000","1,367,165,000","10,549,000","230,124,000","149,931,000","307,709,000","170,907,000","69,797,000","241,928,000","35,648,000"
Stores and Spares,0,0,0,0,0,"32,386,000","22,131,000","20,349,000","15,952,000","14,482,000","14,411,000","2,921,000"
Stock in Trade,"389,678,000","567,552,000","254,484,000","623,612,000","906,617,000","646,967,000","805,259,000","900,686,000","1,089,262,000","1,246,265,000","828,388,000","800,768,000"
Trade Debts,"89,000","2,545,000","17,405,000","34,711,000","34,470,000","19,133,000","56,926,000","72,975,000","103,341,000","44,300,000","50,431,000","277,447,000"
Current Assets,"1,272,090,000","1,971,330,000","1,664,455,000","2,558,997,000","1,923,697,000","1,288,636,000","1,345,947,000","1,453,802,000","1,523,495,000","1,569,362,000","1,391,209,000","1,258,573,000"
Quick Assets,"882,412,000","1,403,778,000","1,409,971,000","1,935,385,000","1,017,080,000","609,283,000","518,557,000","532,767,000","418,281,000","308,615,000","548,410,000","454,884,000"
Total Assets,"1,291,905,000","1,994,725,000","1,690,829,000","2,571,930,000","1,969,920,000","1,691,775,000","1,638,921,000","1,700,712,000","1,688,123,000","1,724,214,000","1,552,910,000","1,452,294,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"307,487,000","745,821,000","412,051,000","842,767,000","745,394,000","551,013,000","545,626,000","474,135,000","382,676,000","553,830,000","544,087,000","464,793,000"
Trades Payables,"307,487,000","745,821,000","412,051,000","842,767,000","745,394,000","551,013,000","545,626,000","474,135,000","382,676,000","553,830,000","544,087,000","464,793,000"
Total Current Liabilities,"318,426,000","757,006,000","422,810,000","860,271,000","745,394,000","551,013,000","545,626,000","474,135,000","382,676,000","553,830,000","544,087,000","464,793,000"
Total Liabilities,"318,426,000","757,006,000","422,810,000","860,271,000","745,394,000","551,013,000","545,626,000","474,135,000","382,676,000","553,830,000","544,087,000","470,031,000"
Paid Up Capital,"142,161,000","142,161,000","142,161,000","142,161,000","142,161,000","142,161,000","142,161,000","142,161,000","142,161,000","142,161,000","142,161,000","142,161,000"
Reserves,"831,318,000","1,095,558,000","1,125,858,000","1,569,498,000","1,082,365,000","998,601,000","951,134,000","1,084,416,000","1,163,286,000","1,028,223,000","866,662,000","840,102,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"973,479,000","1,237,719,000","1,268,019,000","1,711,659,000","1,224,526,000","1,140,762,000","1,093,295,000","1,226,577,000","1,305,447,000","1,170,384,000","1,008,823,000","982,263,000"
Paid Up Value,100,100,100,100,100,100,100,100,100,100,100,100
Number of Shares,"1,421,610","1,421,610","1,421,610","1,421,609","1,421,609","1,421,609","1,421,609","1,421,609","1,421,609","1,421,609","1,421,609","1,421,609"
