Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,-27.09,613.40,-639.33,87.04,44.10,88.80,0.00,83.81,59.30,32.43,53728.41,0.00
Plow Back,127.09,-513.40,739.33,12.96,55.90,11.20,100.00,16.19,40.70,67.57,-53628.41,100.00
Return on Equity,-13.48,1.87,-0.88,57.25,9.21,2.81,-7.73,2.77,14.69,14.98,2.62,-8.84
Return on Assets,-10.15,1.16,-0.66,38.10,5.73,1.89,-5.16,1.99,11.36,10.17,1.70,-5.98
Book Value per Share,684.77,870.65,891.96,1204.03,861.37,802.44,769.05,862.81,918.29,823.28,709.63,690.95
Earning Per Share,-92.28,16.30,-7.82,689.36,79.36,22.52,-59.48,23.86,134.90,123.33,18.61,-61.09
Net Working Capital to Total Asseets,0.74,0.61,0.73,0.66,0.60,0.44,0.49,0.58,0.68,0.59,0.55,0.55
Current Ratio,3.99,2.60,3.94,2.97,2.58,2.34,2.47,3.07,3.98,2.83,2.56,2.71
Acid Test,2.77,1.85,3.33,2.25,1.36,1.11,0.95,1.12,1.09,0.56,1.01,0.98
Times Interest Earned,-319.55,3.55,1.86,645.04,-74.51,74.14,-39.98,381.91,279.49,344.26,15.34,-7.42
Total Debt Ratio,0.25,0.38,0.25,0.33,0.38,0.33,0.33,0.28,0.23,0.32,0.35,0.32
Debt To Equity,0.33,0.61,0.33,0.50,0.61,0.48,0.50,0.39,0.29,0.47,0.54,0.48
Return on Capital Employed,-0.06,0.08,0.04,0.59,-0.04,0.07,-0.01,0.06,0.19,0.26,0.05,-0.03
Average Collection Period,0.04,0.98,5.33,11.24,10.05,2.61,6.80,8.55,11.99,5.29,7.97,43.91
Days sales Inventory,150.19,245.70,94.22,241.13,306.95,106.30,116.34,133.47,167.06,204.11,168.13,162.50
Total Assets Turnover,0.72,0.48,0.71,0.44,0.64,1.58,1.86,1.83,1.86,1.77,1.49,1.59
Gross Profit Margin,-1.54,11.08,17.32,16.22,13.91,12.79,15.02,19.16,23.24,26.18,20.80,21.73
Net Profit Margin,-14.07,2.44,-0.93,86.98,9.01,1.20,-2.77,1.09,6.10,5.74,1.15,-3.77
