Year,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"2,734,277,000","2,414,789,000","1,640,403,000","1,707,540,000","1,787,380,000","1,901,009,000","2,030,061,000"
Investments,0,0,0,0,0,0,0
Cash in Hand and Bank,"6,030,000","6,594,000","1,994,000","1,196,000","1,797,000","19,685,000","6,648,000"
Stores and Spares,"112,126,000","107,091,000","130,131,000","138,744,000","158,405,000","164,593,000","177,653,000"
Stock in Trade,"15,090,000","32,095,000","69,940,000","46,938,000","51,828,000","183,234,000","180,801,000"
Trade Debts,"55,048,000","10,000,000","210,270,000","196,810,000","239,756,000","327,272,000","345,846,000"
Current Assets,"419,271,000","419,661,000","577,792,000","555,418,000","758,566,000","998,894,000","1,025,821,000"
Quick Assets,"292,055,000","280,475,000","377,721,000","369,736,000","548,333,000","651,067,000","667,367,000"
Total Assets,"3,161,123,000","2,842,026,000","2,225,770,000","2,270,228,000","2,553,931,000","2,907,128,000","3,063,299,000"
Interest Bearing Long Term Liability,"1,163,961,000","1,107,085,000","290,386,000","261,044,000","218,407,000","218,434,000","161,066,000"
Non Interest Bearing Long Term Liability,"6,564,000","6,564,000","6,564,000","6,564,000","8,064,000","6,564,000","6,564,000"
Interest Bearing Short Term Liability,"779,000","197,476,000","275,682,000","274,586,000","700,388,000","709,776,000","709,913,000"
* Non Interest Bearing Short Term Liability,"3,150,539,000","2,353,096,000","2,081,308,000","1,844,266,000","1,266,476,000","1,049,259,000","741,821,000"
Trades Payables,"3,093,964,000","2,296,409,000","1,895,824,000","1,705,807,000","1,171,362,000","1,004,991,000","698,727,000"
Total Current Liabilities,"3,169,070,000","2,567,308,000","2,371,228,000","2,126,728,000","1,973,042,000","1,764,074,000","1,458,190,000"
Total Liabilities,"4,355,900,000","3,694,677,000","2,681,908,000","2,408,149,000","2,212,902,000","2,004,368,000","1,637,987,000"
Paid Up Capital,"4,278,385,000","4,278,385,000","4,278,385,000","4,278,385,000","4,278,385,000","4,278,385,000","4,278,385,000"
Reserves,"-6,573,659,000","-6,259,478,000","-5,897,540,000","-5,617,565,000","-5,178,326,000","-4,676,439,000","-4,205,159,000"
Preferred Equity,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,100,497,000","1,128,442,000","1,163,018,000","1,201,261,000","1,240,970,000","1,300,814,000","1,352,086,000"
Shareholder Equity,"-1,194,777,000","-852,651,000","-456,137,000","-137,919,000","341,029,000","902,760,000","1,425,312,000"
Paid Up Value,10,10,10,10,10,10,10
Number of Shares,"427,838,526","427,838,526","427,838,526","427,838,526","427,838,526","427,838,526","427,838,526"
