Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Fixed Assets,"716,717,000","764,360,000","713,945,000","484,275,000","483,319,000","367,884,000","393,709,000","410,118,000","359,668,000","333,541,000","291,285,000"
Investments,"60,000,000",0,0,0,0,0,0,0,0,0,"5,000,000"
Cash in Hand and Bank,"103,230,000","63,640,000","43,599,000","32,547,000","38,005,000","27,996,000","18,159,000","42,328,000","45,688,000","45,299,000","103,246,000"
Stores and Spares,"7,132,000","6,725,000","12,683,000","15,798,000","17,000,000","16,619,000","13,631,000","11,791,000","12,416,000","8,600,000","7,862,000"
Stock in Trade,"205,426,000","179,267,000","186,932,000","173,431,000","156,163,000","202,551,000","284,473,000","372,349,000","418,567,000","370,943,000","282,281,000"
Trade Debts,"41,028,000","45,560,000","46,188,000","33,543,000","25,829,000","42,815,000","29,030,000","58,336,000","54,219,000","29,780,000","21,280,000"
Current Assets,"537,558,000","449,685,000","388,138,000","370,807,000","315,923,000","354,125,000","406,650,000","559,234,000","598,182,000","516,410,000","465,717,000"
Quick Assets,"325,000,000","263,693,000","188,523,000","181,578,000","142,760,000","134,955,000","108,546,000","175,094,000","167,199,000","136,867,000","175,574,000"
Total Assets,"1,267,303,000","1,216,369,000","1,108,537,000","870,654,000","836,524,000","786,697,000","824,748,000","980,840,000","972,208,000","865,612,000","762,660,000"
Interest Bearing Long Term Liability,"87,043,000","60,155,000","4,515,000",0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,"450,000","450,000","450,000","450,000","450,000","450,000","450,000"
Interest Bearing Short Term Liability,"53,299,000","11,182,000","190,941,000","210,000,000","230,004,000","279,622,000","201,982,000","200,000,000","130,000,000","80,000,000",0
* Non Interest Bearing Short Term Liability,"254,681,000","260,163,000","231,482,000","192,186,000","158,743,000","147,990,000","152,947,000","145,397,000","284,895,000","254,491,000","249,700,000"
Trades Payables,"254,681,000","260,163,000","231,482,000","192,186,000","158,743,000","147,990,000","152,947,000","145,397,000","284,895,000","254,491,000","249,700,000"
Total Current Liabilities,"438,536,000","410,241,000","436,995,000","415,724,000","402,285,000","441,150,000","368,544,000","378,298,000","452,447,000","359,401,000","286,115,000"
Total Liabilities,"661,015,000","605,275,000","541,070,000","518,737,000","493,987,000","532,228,000","451,663,000","493,486,000","549,300,000","462,523,000","376,279,000"
Paid Up Capital,"61,226,000","61,226,000","61,226,000","61,226,000","61,226,000","61,226,000","61,226,000","53,240,000","53,240,000","53,240,000","53,240,000"
Reserves,"190,390,000","186,157,000","123,279,000","97,737,000","77,940,000","71,300,000","189,969,000","307,650,000","279,733,000","255,901,000","249,834,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"354,672,000","363,711,000","382,962,000","192,954,000","203,371,000","121,943,000","121,890,000","126,464,000","89,935,000","93,948,000","83,307,000"
Shareholder Equity,"606,288,000","611,094,000","567,467,000","351,917,000","342,537,000","254,469,000","373,085,000","487,354,000","422,908,000","403,089,000","386,381,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"6,122,600","6,122,600","6,122,600","6,122,600","6,122,600","6,122,600","6,122,600","5,324,000","5,324,000","5,324,000","5,324,000"
