Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Sales,"2,443,461,000","2,419,329,000","1,894,705,000","1,599,376,000","1,463,042,000","1,342,843,000","1,298,182,000","1,621,071,000","1,829,255,000","1,566,091,000","1,289,891,000"
COGS,"1,843,796,000","1,706,308,000","1,357,923,000","1,148,227,000","1,055,056,000","1,095,917,000","1,016,412,000","1,157,371,000","1,323,117,000","1,226,184,000","951,249,000"
Gross Profit,"599,665,000","713,021,000","536,782,000","451,149,000","407,986,000","246,926,000","281,770,000","463,700,000","506,138,000","339,907,000","338,642,000"
Administrative Expenses,"154,528,000","163,327,000","117,950,000","104,712,000","102,947,000","91,734,000","109,088,000","120,773,000","102,195,000","77,149,000","49,554,000"
Selling & Distributive Expenses,"373,513,000","381,517,000","344,873,000","300,353,000","284,889,000","277,597,000","309,289,000","274,324,000","332,027,000","224,017,000","243,349,000"
Financial Charges,"16,575,000","25,918,000","18,125,000","18,092,000","20,006,000","22,913,000","27,115,000","18,802,000","23,002,000","4,715,000","696,000"
Other Income,"7,119,000","3,583,000","15,003,000","20,382,000","6,457,000","4,860,000","4,878,000","8,240,000","8,361,000","4,440,000","12,973,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"11,228,000","20,231,000","11,680,000","7,146,000","558,000","2,123,000",0,"8,939,000","9,773,000","5,388,000","9,786,000"
EBITDA,"134,277,000","217,332,000","119,323,000","97,505,000","58,875,000","-84,474,000","-92,430,000","107,108,000","105,688,000","66,183,000","75,235,000"
EBIT,"67,515,000","151,529,000","77,282,000","59,320,000","26,049,000","-119,668,000","-131,729,000","67,904,000","70,504,000","37,793,000","48,926,000"
EBT,"50,940,000","125,611,000","59,157,000","41,228,000","6,043,000","-142,581,000","-158,844,000","49,102,000","47,502,000","33,078,000","48,230,000"
Tax,"37,679,000","59,869,000","31,224,000","24,352,000","2,107,000","-22,019,000","-55,375,000","16,257,000","17,035,000","12,655,000","17,144,000"
PAT,"13,261,000","65,742,000","27,933,000","16,876,000","3,936,000","-120,562,000","-103,469,000","32,845,000","30,468,000","20,423,000","31,086,000"
EPS,2.17,10.74,4.56,2.76,0.64,-19.69,-16.9,6.17,5.72,3.84,5.84
