Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,57.71,32.60,32.88,45.35,77.78,0.00,0.00,24.31,52.42,52.14,59.94
Plow Back,42.29,67.40,67.12,54.65,22.22,100.00,100.00,75.69,47.58,47.86,40.06
Return on Equity,2.19,10.76,4.92,4.79,1.15,-47.38,-27.73,6.74,7.20,5.07,8.04
Return on Assets,1.05,5.40,2.52,1.94,0.47,-15.33,-12.55,3.35,3.13,2.36,4.08
Book Value per Share,99.02,99.81,92.68,57.48,55.95,41.56,60.94,91.54,79.43,75.71,72.57
Earning Per Share,2.17,10.74,4.56,2.76,0.64,-19.69,-16.90,6.17,5.72,3.84,5.84
Net Working Capital to Total Asseets,0.08,0.03,-0.04,-0.05,-0.10,-0.11,0.05,0.18,0.15,0.18,0.24
Current Ratio,1.23,1.10,0.89,0.89,0.79,0.80,1.10,1.48,1.32,1.44,1.63
Acid Test,0.74,0.64,0.43,0.44,0.35,0.31,0.29,0.46,0.37,0.38,0.61
Times Interest Earned,4.07,5.85,4.26,3.28,1.30,-5.22,-4.86,3.61,3.07,8.02,70.30
Total Debt Ratio,0.52,0.50,0.49,0.60,0.59,0.68,0.55,0.50,0.57,0.53,0.49
Debt To Equity,1.09,0.99,0.95,1.47,1.44,2.09,1.21,1.01,1.30,1.15,0.97
Return on Capital Employed,0.08,0.19,0.12,0.13,0.06,-0.35,-0.29,0.11,0.14,0.07,0.10
Average Collection Period,6.13,6.87,8.90,7.66,6.44,11.64,8.16,13.13,10.82,6.94,6.02
Days sales Inventory,42.08,39.79,53.66,60.15,59.91,73.00,107.05,121.15,118.89,112.98,111.33
Total Assets Turnover,1.93,1.99,1.71,1.84,1.75,1.71,1.57,1.65,1.88,1.81,1.69
Gross Profit Margin,24.54,29.47,28.33,28.21,27.89,18.39,21.70,28.61,27.67,21.70,26.25
Net Profit Margin,0.54,2.72,1.47,1.05,0.27,-8.98,-7.97,2.03,1.67,1.30,2.41
